Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),skills_normalized,skills_count,experience_level,experience_years,experience_level_numeric,job_role_normalized,job_category,education_normalized,education_level,decision_binary,skill_c++,skill_cybersecurity,skill_deep learning,skill_ethical hacking,skill_java,skill_linux,skill_machine learning,skill_natural language processing,skill_networking,skill_python,skill_pytorch,skill_react.js,skill_sql,skill_tensorflow
132,Rebecca Reynolds,"Java, C++, SQL",0,B.Sc,,Software Engineer,Reject,103202,3,30,"['c++', 'sql', 'java']",3,fresher,0,0,software engineer,software_development,B.SC,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
134,Brad Stephens,"C++, Java, React, SQL",1,PhD,,Software Engineer,Reject,116556,0,30,"['react.js', 'c++', 'sql', 'java']",4,fresher,1,0,software engineer,software_development,PHD,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
152,Jacqueline Lee,"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,Hire,99537,10,100,"['react.js', 'java', 'sql']",3,senior,6,3,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
169,Shawn Schmidt,"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,Hire,68144,2,100,"['react.js', 'c++', 'sql', 'java']",4,senior,9,3,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
173,Brenda Crawford,"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,Hire,100722,5,80,"['react.js', 'c++', 'sql']",3,mid-level,3,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
177,Eric Mendez,"C++, React",1,MBA,,Software Engineer,Reject,55836,3,35,"['react.js', 'c++']",2,fresher,1,0,software engineer,software_development,MBA,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
181,Jared Gonzalez,"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,Hire,54170,7,100,"['react.js', 'java']",2,senior,6,3,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
185,Justin Myers Jr.,"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,89830,3,100,"['react.js', 'c++', 'sql', 'java']",4,senior,7,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
186,Anthony Benson,"Java, C++, React, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,64162,7,100,"['react.js', 'c++', 'sql', 'java']",4,mid-level,5,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
190,Scott Salinas,"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,Hire,58162,5,65,"['react.js', 'java', 'c++', 'sql']",4,fresher,1,0,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
198,Audrey Haynes,"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,Hire,68682,7,70,"['java', 'c++', 'sql']",3,fresher,1,0,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
205,Rachael Williams,"Java, C++",9,MBA,Google ML,Software Engineer,Hire,82341,3,100,"['c++', 'java']",2,senior,9,3,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
208,Shawn Carson,"C++, React",2,B.Sc,AWS Certified,Software Engineer,Hire,96027,5,65,"['react.js', 'c++']",2,junior,2,1,software engineer,software_development,B.SC,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
213,Wyatt Anderson,"C++, SQL",2,MBA,Google ML,Software Engineer,Reject,94346,1,45,"['c++', 'sql']",2,junior,2,1,software engineer,software_development,MBA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
214,Peter Patterson,"SQL, Java",1,B.Tech,Google ML,Software Engineer,Hire,45989,7,65,"['java', 'sql']",2,fresher,1,0,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
224,Jon Poole,"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,96786,4,100,"['sql', 'java']",2,senior,8,3,software engineer,software_development,M.TECH,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
232,Anita Vega,"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,Hire,80517,8,70,"['react.js', 'c++', 'sql', 'java']",4,fresher,0,0,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
234,Tonya Ellison,"SQL, Java, C++, React",9,M.Tech,,Software Engineer,Hire,76224,5,100,"['java', 'c++', 'react.js', 'sql']",4,senior,9,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
236,Elizabeth Graham,"React, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,75572,0,90,"['react.js', 'sql']",2,senior,7,3,software engineer,software_development,B.TECH,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
243,Katherine Chase,"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,Hire,99288,4,100,"['react.js', 'c++', 'sql']",3,senior,8,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
249,Caitlin Shaw,"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,Hire,101488,5,95,"['java', 'react.js', 'c++', 'sql']",4,mid-level,4,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
250,James Gibson,"React, Java",2,MBA,AWS Certified,Software Engineer,Hire,113130,8,80,"['react.js', 'java']",2,junior,2,1,software engineer,software_development,MBA,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
255,Sara Collins,"React, C++, SQL, Java",7,MBA,Deep Learning Specialization,Software Engineer,Hire,90437,5,100,"['react.js', 'c++', 'java', 'sql']",4,senior,7,3,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
257,Paul Williams,"Java, C++, React",9,M.Tech,,Software Engineer,Hire,54990,1,100,"['react.js', 'c++', 'java']",3,senior,9,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
268,Nathaniel Yoder,"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,Hire,89543,5,100,"['react.js', 'sql']",2,fresher,10,0,software engineer,software_development,B.TECH,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
278,Dwayne Taylor,"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,90345,7,100,"['react.js', 'c++', 'java', 'sql']",4,mid-level,4,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
281,Rachael Hayes,"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,48829,5,100,"['react.js', 'c++', 'sql']",3,fresher,10,0,software engineer,software_development,M.TECH,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
287,Emily Sanchez,"C++, React, SQL, Java",2,MBA,,Software Engineer,Reject,96229,1,45,"['react.js', 'c++', 'java', 'sql']",4,junior,2,1,software engineer,software_development,MBA,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
294,Jeremy Shaw,"Java, C++, React, SQL",4,B.Sc,,Software Engineer,Hire,98181,8,100,"['react.js', 'c++', 'sql', 'java']",4,mid-level,4,2,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
302,Denise Collins,"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,Hire,94954,10,100,"['react.js', 'sql', 'c++', 'java']",4,mid-level,5,2,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
306,Nathaniel Terry,"React, SQL, C++",1,MBA,,Software Engineer,Hire,88441,10,75,"['react.js', 'c++', 'sql']",3,fresher,1,0,software engineer,software_development,MBA,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
310,Megan Cox,"SQL, Java",3,B.Tech,,Software Engineer,Hire,63531,8,80,"['java', 'sql']",2,mid-level,3,2,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
314,Ronald Luna,"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,106464,5,95,"['c++', 'sql']",2,mid-level,5,2,software engineer,software_development,M.TECH,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
320,Scott Richardson,"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,Hire,53699,8,70,"['java', 'c++', 'react.js', 'sql']",4,fresher,0,0,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
325,Heather Mcdonald,"C++, Java, SQL",3,PhD,Deep Learning Specialization,Software Engineer,Hire,98746,4,75,"['c++', 'sql', 'java']",3,mid-level,3,2,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
329,William Casey,"SQL, React, C++",7,B.Tech,AWS Certified,Software Engineer,Hire,65733,0,95,"['react.js', 'c++', 'sql']",3,senior,7,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
331,James Murphy,"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,Hire,115275,5,100,"['java', 'sql']",2,senior,7,3,software engineer,software_development,M.TECH,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
336,Sergio Scott,"Java, SQL, React, C++",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,69145,4,100,"['react.js', 'sql', 'c++', 'java']",4,fresher,10,0,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
338,Stacie Pitts,"C++, SQL",7,MBA,AWS Certified,Software Engineer,Hire,45278,8,100,"['c++', 'sql']",2,senior,7,3,software engineer,software_development,MBA,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
341,Austin Saunders,"C++, Java",0,B.Sc,,Software Engineer,Reject,89148,8,50,"['c++', 'java']",2,fresher,0,0,software engineer,software_development,B.SC,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
348,Jamie Arnold,"SQL, Java, React",3,B.Sc,,Software Engineer,Hire,96280,9,90,"['java', 'react.js', 'sql']",3,mid-level,3,2,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
352,Tanya Lloyd,"React, C++, SQL, Java",0,M.Tech,,Software Engineer,Reject,94099,0,20,"['react.js', 'c++', 'java', 'sql']",4,fresher,0,0,software engineer,software_development,M.TECH,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
358,Mr. Juan Barron DDS,"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,Hire,59448,9,100,"['react.js', 'c++', 'java', 'sql']",4,mid-level,4,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
363,Stephanie Edwards,"SQL, Java",3,B.Sc,,Software Engineer,Hire,41272,6,70,"['java', 'sql']",2,mid-level,3,2,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
365,Breanna Moore,"React, Java, SQL",4,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82848,5,90,"['react.js', 'sql', 'java']",3,mid-level,4,2,software engineer,software_development,M.TECH,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
371,Timothy Johnson,"Java, C++, React",7,PhD,,Software Engineer,Hire,100195,6,100,"['react.js', 'c++', 'java']",3,senior,7,3,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
372,Donald Lawson,"React, Java, SQL",3,B.Sc,,Software Engineer,Reject,118891,0,45,"['react.js', 'sql', 'java']",3,mid-level,3,2,software engineer,software_development,B.SC,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
374,Amanda Thomas,"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,Hire,51113,0,100,"['react.js', 'sql', 'c++', 'java']",4,fresher,10,0,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
377,Breanna Barrett,"C++, React",8,B.Sc,Deep Learning Specialization,Software Engineer,Hire,71077,7,100,"['react.js', 'c++']",2,senior,8,3,software engineer,software_development,B.SC,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
385,Elijah Mcmillan,"React, C++",6,B.Tech,Google ML,Software Engineer,Hire,114890,7,100,"['react.js', 'c++']",2,senior,6,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
388,Linda Hardy,"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,95050,2,100,"['java', 'c++', 'sql']",3,fresher,10,0,software engineer,software_development,M.TECH,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
393,Jack Hall,"C++, React, Java",9,B.Tech,Deep Learning Specialization,Software Engineer,Hire,76157,8,100,"['react.js', 'c++', 'java']",3,senior,9,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
396,Elizabeth Hernandez,"Java, SQL",3,B.Tech,Deep Learning Specialization,Software Engineer,Reject,89716,1,55,"['sql', 'java']",2,mid-level,3,2,software engineer,software_development,B.TECH,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
406,Jon Craig,"React, SQL, Java",1,B.Sc,Google ML,Software Engineer,Hire,105524,9,80,"['react.js', 'java', 'sql']",3,fresher,1,0,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
413,Alex Valdez,"C++, Java, React",4,MBA,Google ML,Software Engineer,Hire,53412,0,65,"['react.js', 'c++', 'java']",3,mid-level,4,2,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
415,James Reyes,"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,Hire,85526,1,75,"['react.js', 'c++']",2,mid-level,5,2,software engineer,software_development,B.SC,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
416,Kathryn Carter,"Java, React, C++, SQL",7,PhD,Deep Learning Specialization,Software Engineer,Hire,55916,6,100,"['react.js', 'c++', 'sql', 'java']",4,senior,7,3,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
424,Cristian Hernandez,"C++, React, Java, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,59061,6,100,"['react.js', 'c++', 'sql', 'java']",4,senior,7,3,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
425,David Smith,"SQL, C++",3,B.Tech,Deep Learning Specialization,Software Engineer,Hire,41891,4,70,"['c++', 'sql']",2,mid-level,3,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
428,George Mills,"React, Java",5,PhD,,Software Engineer,Hire,74711,8,100,"['react.js', 'java']",2,mid-level,5,2,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
433,Michael Randall,"SQL, C++, React",7,M.Tech,AWS Certified,Software Engineer,Hire,49907,4,100,"['react.js', 'c++', 'sql']",3,senior,7,3,software engineer,software_development,M.TECH,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
434,Kathryn Shea,"SQL, React, C++, Java",3,PhD,Deep Learning Specialization,Software Engineer,Hire,71138,8,100,"['react.js', 'c++', 'java', 'sql']",4,mid-level,3,2,software engineer,software_development,PHD,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
437,David Collins,"Java, React, C++",0,PhD,Deep Learning Specialization,Software Engineer,Reject,47445,2,35,"['react.js', 'c++', 'java']",3,fresher,0,0,software engineer,software_development,PHD,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
439,Willie Castaneda,"Java, React",9,B.Tech,AWS Certified,Software Engineer,Hire,79610,1,100,"['react.js', 'java']",2,senior,9,3,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
440,William Barnes,"C++, SQL",6,MBA,AWS Certified,Software Engineer,Hire,83118,3,95,"['c++', 'sql']",2,senior,6,3,software engineer,software_development,MBA,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
444,Daniel Cline,"Java, C++, SQL, React",4,B.Tech,,Software Engineer,Hire,46950,7,95,"['react.js', 'c++', 'sql', 'java']",4,mid-level,4,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
445,Debbie Duffy,"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,Hire,92781,0,65,"['react.js', 'sql', 'java']",3,mid-level,4,2,software engineer,software_development,PHD,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
446,Melissa Lowe,"Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,75477,6,100,"['react.js', 'java']",2,fresher,10,0,software engineer,software_development,B.SC,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
449,Tracy Dalton,"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,Hire,115386,4,100,"['react.js', 'java', 'sql']",3,senior,6,3,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
450,Nicholas Hutchinson,"SQL, React, Java",0,M.Tech,,Software Engineer,Reject,81417,0,15,"['react.js', 'java', 'sql']",3,fresher,0,0,software engineer,software_development,M.TECH,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
453,Michael Krueger,"Java, SQL, React",5,MBA,,Software Engineer,Hire,49176,8,100,"['react.js', 'sql', 'java']",3,mid-level,5,2,software engineer,software_development,MBA,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
454,Jordan Cook,"Java, React, C++, SQL",3,B.Sc,Google ML,Software Engineer,Hire,63179,9,100,"['react.js', 'c++', 'sql', 'java']",4,mid-level,3,2,software engineer,software_development,B.SC,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
455,Michael George,"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,Hire,83833,8,100,"['java', 'sql']",2,senior,8,3,software engineer,software_development,B.TECH,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
459,Scott Fisher,"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,104969,8,100,"['c++', 'java']",2,mid-level,4,2,software engineer,software_development,B.TECH,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
464,Travis Thompson,"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,Reject,109551,3,35,"['c++', 'java']",2,fresher,0,0,software engineer,software_development,M.TECH,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
469,Renee West,"C++, Java, SQL",2,MBA,Google ML,Software Engineer,Hire,62255,7,80,"['c++', 'sql', 'java']",3,junior,2,1,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
483,Jodi Franklin,"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,Hire,76012,1,100,"['react.js', 'c++', 'java']",3,fresher,10,0,software engineer,software_development,MBA,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
